service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
384490_319239,1,1,1,1,1,1,1,20251012,20251025
384490_319240,1,1,1,1,1,1,1,20251026,20251213
384490_319242,1,1,1,1,1,1,1,20251012,20251025
384490_319243,1,1,1,1,1,1,1,20251026,20251213
384490_319246,1,1,1,1,1,1,1,20251012,20251213
384490_319252,1,1,1,1,1,1,1,20251012,20251025
384490_319253,1,1,1,1,1,1,1,20251026,20251213
384490_319258,1,1,1,1,1,1,1,20251012,20251025
384490_319259,1,1,1,1,1,1,1,20251026,20251213
384490_319261,1,1,1,1,1,1,1,20251012,20251025
384490_319262,1,1,1,1,1,1,1,20251026,20251213
384490_319264,1,1,1,1,1,1,1,20251012,20251213
384490_320503,1,1,1,1,1,1,1,20251012,20251025
384490_320504,1,1,1,1,1,1,1,20251026,20251213
384490_320505,1,1,1,1,1,1,1,20251012,20251025
384490_320506,1,1,1,1,1,1,1,20251026,20251213
384490_320512,1,1,1,1,1,1,1,20251012,20251025
384490_320513,1,1,1,1,1,1,1,20251026,20251213
384490_320520,1,1,1,1,1,1,1,20251012,20251025
384490_320521,1,1,1,1,1,1,1,20251026,20251213
384490_320524,1,1,1,1,1,1,1,20251012,20251025
384490_320525,1,1,1,1,1,1,1,20251026,20251213
384490_320527,1,1,1,1,1,1,1,20251012,20251213
384490_320534,1,1,1,1,1,1,1,20251012,20251025
384490_320535,1,1,1,1,1,1,1,20251026,20251213
384492_319284,1,1,1,1,1,1,1,20251012,20251015
384492_319285,1,1,1,1,1,1,1,20251016,20251025
384492_319286,1,1,1,1,1,1,1,20251026,20251213
384492_319294,1,1,1,1,1,1,1,20251012,20251015
384492_319295,1,1,1,1,1,1,1,20251016,20251025
384492_319296,1,1,1,1,1,1,1,20251026,20251213
384492_319302,1,1,1,1,1,1,1,20251012,20251012
384492_319303,0,0,0,0,0,1,1,20251018,20251025
384492_319304,0,1,0,0,0,0,1,20251026,20251028
384492_319315,1,1,1,1,1,1,1,20251012,20251012
384492_319316,0,0,0,0,0,1,1,20251018,20251025
384492_319317,0,1,0,0,0,0,1,20251026,20251028
384492_319323,1,1,1,1,1,1,1,20251012,20251015
384492_319324,1,1,1,1,1,1,1,20251016,20251025
384492_319325,1,1,1,1,1,1,1,20251026,20251213
384492_319336,1,1,1,1,1,1,1,20251012,20251015
384492_319337,1,1,1,1,1,1,1,20251016,20251025
384492_319338,1,1,1,1,1,1,1,20251026,20251213
384492_319344,1,1,1,1,1,1,1,20251012,20251012
384492_319345,0,0,0,0,0,1,1,20251018,20251025
384492_319346,0,1,0,0,0,0,1,20251026,20251028
384492_319356,1,1,1,1,1,1,1,20251012,20251012
384492_319357,0,0,0,0,0,1,1,20251018,20251025
384492_319358,0,1,0,0,0,0,1,20251026,20251028
384492_319364,1,1,1,1,1,1,1,20251012,20251012
384492_319365,0,0,0,0,0,1,1,20251018,20251025
384492_319366,0,1,0,0,0,0,1,20251026,20251028
384492_319375,1,1,1,1,1,1,1,20251012,20251012
384492_319376,0,0,0,0,0,1,1,20251018,20251025
384492_319377,0,1,0,0,0,0,1,20251026,20251028
384492_319383,1,1,1,1,1,1,1,20251012,20251015
384492_319384,1,1,1,1,1,1,1,20251016,20251025
384492_319385,1,1,1,1,1,1,1,20251026,20251213
384492_319395,1,1,1,1,1,1,1,20251012,20251015
384492_319396,1,1,1,1,1,1,1,20251016,20251025
384492_319397,1,1,1,1,1,1,1,20251026,20251213
384492_319403,0,0,0,0,0,1,1,20251012,20251012
384492_319404,0,0,0,0,0,1,1,20251018,20251025
384492_319405,0,0,0,0,0,1,1,20251026,20251213
384492_319415,0,0,0,0,0,1,1,20251012,20251012
384492_319416,0,0,0,0,0,1,1,20251018,20251025
384492_319417,0,0,0,0,0,1,1,20251026,20251213
384492_319423,1,1,1,1,1,1,1,20251012,20251012
384492_319424,0,0,0,0,0,1,1,20251018,20251025
384492_319425,0,1,0,0,0,0,1,20251026,20251028
384492_319434,1,1,1,1,1,1,1,20251012,20251012
384492_319435,0,0,0,0,0,1,1,20251018,20251025
384492_319436,0,1,0,0,0,0,1,20251026,20251028
384492_319442,0,0,0,0,0,1,1,20251012,20251012
384492_319443,0,0,0,0,0,1,1,20251018,20251025
384492_319444,0,0,0,0,0,1,1,20251026,20251213
384492_319453,0,0,0,0,0,1,1,20251012,20251012
384492_319454,0,0,0,0,0,1,1,20251018,20251025
384492_319455,0,0,0,0,0,1,1,20251026,20251213
384492_319461,1,1,1,1,1,1,1,20251012,20251015
384492_319462,1,1,1,1,1,1,1,20251016,20251025
384492_319463,1,1,1,1,1,1,1,20251026,20251213
384492_319473,1,1,1,1,1,1,1,20251012,20251015
384492_319474,1,1,1,1,1,1,1,20251016,20251025
384492_319475,1,1,1,1,1,1,1,20251026,20251213
384492_319481,1,1,1,1,1,1,1,20251012,20251012
384492_319482,0,0,0,0,0,1,1,20251018,20251025
384492_319483,0,1,0,0,0,0,1,20251026,20251028
384492_319494,1,1,1,1,1,1,1,20251012,20251012
384492_319495,0,0,0,0,0,1,1,20251018,20251025
384492_319496,0,1,0,0,0,0,1,20251026,20251028
384492_320240,0,0,0,0,0,1,1,20251012,20251025
384492_320241,1,1,1,1,1,0,0,20251012,20251024
384492_320244,0,0,0,0,0,1,1,20251012,20251025
384492_320247,1,1,1,1,1,1,1,20251012,20251025
384492_320251,0,0,0,0,0,1,1,20251012,20251025
384492_320255,0,0,0,0,0,1,1,20251012,20251025
384492_320258,1,1,1,1,1,1,1,20251012,20251025
384492_320265,0,0,0,0,0,1,1,20251012,20251025
384492_320268,0,0,0,0,0,1,1,20251012,20251025
384492_320271,0,0,0,0,0,1,1,20251012,20251025
384492_320274,1,1,1,1,1,1,1,20251012,20251025
384492_320312,0,0,0,0,0,1,1,20251012,20251025
384492_320313,1,1,1,1,1,0,0,20251012,20251024
384492_320316,0,0,0,0,0,1,1,20251012,20251025
384492_320319,1,1,1,1,1,1,1,20251012,20251025
384492_320322,0,0,0,0,0,1,1,20251012,20251025
384492_320325,0,0,0,0,0,1,1,20251012,20251025
384492_320328,1,1,1,1,1,1,1,20251012,20251025
