service_id,date,exception_type
384492_319405,20251117,1
384492_319405,20251101,1
384492_319405,20251111,1
384492_319405,20251028,1
384492_319417,20251117,1
384492_319417,20251101,1
384492_319417,20251111,1
384492_319417,20251028,1
384492_319444,20251117,1
384492_319444,20251101,1
384492_319444,20251111,1
384492_319444,20251028,1
384492_319455,20251117,1
384492_319455,20251101,1
384492_319455,20251111,1
384492_319455,20251028,1
384496_319645,20251031,2
384496_319645,20251119,2
384496_319660,20251031,2
384496_319660,20251119,2
384496_323211,20251101,2
384496_323211,20251111,2
384496_323343,20251101,2
384496_323343,20251111,2
384497_319615,20251101,1
384497_319615,20251111,1
384497_319628,20251101,1
384497_319628,20251111,1
384497_321878,20251101,1
384497_321878,20251111,1
384497_321888,20251101,1
384497_321888,20251111,1
384497_321936,20251111,1
384497_321936,20251109,2
384497_321945,20251101,2
384497_321945,20251111,2
384497_321965,20251101,2
384497_321965,20251111,2
384497_321973,20251109,1
384497_321973,20251111,2
384497_324677,20251111,1
384497_324677,20251109,2
384497_324702,20251101,2
384497_324702,20251111,2
384497_324717,20251109,1
384497_324717,20251111,2
384497_324725,20251101,2
384497_324725,20251111,2
384495_321753,20251101,2
384495_321753,20251111,2
384495_321758,20251101,1
384495_321758,20251111,1
384495_321786,20251101,2
384495_321786,20251111,2
384495_321792,20251101,1
384495_321792,20251111,1
384495_321821,20251101,1
384495_321821,20251111,1
384495_321824,20251101,2
384495_321824,20251111,2
384495_321863,20251101,1
384495_321863,20251111,1
384495_321864,20251101,2
384495_321864,20251111,2
384502_321108,20251110,1
384502_321115,20251101,1
384502_321115,20251111,1
384502_322341,20251101,1
384502_322341,20251111,1
384502_322354,20251101,2
384502_322354,20251111,2
384502_323251,20251101,2
384502_323251,20251111,2
384502_323276,20251101,1
384502_323276,20251111,1
384502_323315,20251101,2
384502_323315,20251111,2
384502_323438,20251017,2
384502_323439,20251111,2
384503_320009,20251101,1
384503_320009,20251111,1
384503_320021,20251101,1
384503_320021,20251111,1
384503_320475,20251101,1
384503_320475,20251111,1
384503_321027,20251101,1
384503_321027,20251111,1
384503_321034,20251101,1
384503_321034,20251111,1
384504_320037,20251101,2
384504_320037,20251111,2
384504_320044,20251101,1
384504_320044,20251111,1
384504_320048,20251101,2
384504_320048,20251111,2
384504_320065,20251101,2
384504_320065,20251111,2
384504_320071,20251101,1
384504_320071,20251111,1
384504_320086,20251101,1
384504_320086,20251111,1
384504_320098,20251101,1
384504_320098,20251111,1
384504_320110,20251101,1
384504_320110,20251111,1
384504_320115,20251101,2
384504_320115,20251111,2
384504_320119,20251101,2
384504_320119,20251111,2
384504_320144,20251101,1
384504_320144,20251111,1
384504_320149,20251101,2
384504_320149,20251111,2
384504_320163,20251101,2
384504_320163,20251111,2
384504_320176,20251101,1
384504_320176,20251111,1
384504_320194,20251101,1
384504_320194,20251111,1
384504_320201,20251101,2
384504_320201,20251111,2
384504_320213,20251101,2
384504_320213,20251111,2
384505_320104,20251101,2
384505_320104,20251111,2
384505_320169,20251101,2
384505_320169,20251111,2
384505_320220,20251101,1
384505_320220,20251111,1
384507_320137,20251101,2
384507_320137,20251111,2
384507_324488,20251101,2
384507_324488,20251111,2
384507_324536,20251101,2
384507_324536,20251111,2
384507_324576,20251101,2
384507_324576,20251111,2
384508_321252,20251101,2
384508_321252,20251111,2
384508_321257,20251101,1
384508_321257,20251111,1
384510_320385,20251101,2
384510_320385,20251111,2
384510_320391,20251101,1
384510_320391,20251111,1
384510_320396,20251101,1
384510_320396,20251111,1
384510_320401,20251101,2
384510_320401,20251111,2
384510_320428,20251101,2
384510_320428,20251111,2
384510_320436,20251019,1
384510_320436,20251025,1
384510_320436,20251018,1
384510_320469,20251101,2
384510_320469,20251111,2
384510_321236,20251101,1
384510_321236,20251111,1
384510_321238,20251111,1
384510_321238,20251101,1
384510_321293,20251101,1
384510_321293,20251111,1
384510_321296,20251101,1
384510_321296,20251111,1
384510_321298,20251101,1
384510_321298,20251111,1
384512_320554,20251101,2
384512_320554,20251111,2
384512_320587,20251101,2
384512_320587,20251111,2
384513_320621,20251101,1
384513_320621,20251111,1
384513_320624,20251101,2
384513_320624,20251111,2
384513_320634,20251101,1
384513_320634,20251111,1
384513_320637,20251111,2
384513_320637,20251101,2
384513_320649,20251101,2
384513_320649,20251111,2
384513_320660,20251101,2
384513_320660,20251111,2
384513_320663,20251101,1
384513_320663,20251111,1
384513_320692,20251101,1
384513_320692,20251111,1
384513_320757,20251101,2
384513_320757,20251111,2
384513_320935,20251101,1
384513_320935,20251111,1
384513_323526,20251101,2
384513_323526,20251111,2
384513_323529,20251101,2
384513_323529,20251111,2
384513_323560,20251101,2
384513_323560,20251111,2
384513_323572,20251101,1
384513_323572,20251111,1
384513_323600,20251101,2
384513_323600,20251111,2
384513_323617,20251101,2
384513_323617,20251111,2
384513_323629,20251101,2
384513_323629,20251111,2
384513_323640,20251101,1
384513_323640,20251111,1
384513_323670,20251101,1
384513_323670,20251111,1
384514_320617,20251101,2
384514_320617,20251111,2
384514_320630,20251101,2
384514_320630,20251111,2
384514_320643,20251101,2
384514_320643,20251111,2
384514_320648,20251101,1
384514_320648,20251111,1
384514_320687,20251101,2
384514_320687,20251111,2
384514_320699,20251101,2
384514_320699,20251111,2
384514_320731,20251101,2
384514_320731,20251111,2
384514_320744,20251101,2
384514_320744,20251111,2
384514_320930,20251101,2
384514_320930,20251111,2
384515_320721,20251101,1
384515_320721,20251111,1
384515_321139,20251101,1
384515_321139,20251111,1
384515_323536,20251111,1
384515_323578,20251101,2
384515_323578,20251111,2
384515_323660,20251101,1
384515_323660,20251111,1
384515_323701,20251101,2
384515_323701,20251111,2
384516_320782,20251101,2
384516_320782,20251111,2
384516_323840,20251101,2
384516_323840,20251111,2
384516_323948,20251101,2
384516_323948,20251111,2
384516_324888,20251101,2
384516_324888,20251111,2
384516_324917,20251101,2
384516_324917,20251111,2
384516_324946,20251101,2
384516_324946,20251111,2
384517_320813,20251101,2
384517_320813,20251111,2
384517_320819,20251101,2
384517_320819,20251111,2
384517_320825,20251101,2
384517_320825,20251111,2
384517_320831,20251101,2
384517_320831,20251111,2
384517_320836,20251101,2
384517_320836,20251111,2
384517_320842,20251101,2
384517_320842,20251111,2
384517_320848,20251101,2
384517_320848,20251111,2
384517_320856,20251101,2
384517_320856,20251111,2
384517_320861,20251101,2
384517_320861,20251111,2
384517_320866,20251101,2
384517_320866,20251111,2
384517_321184,20251101,1
384517_321184,20251111,1
384517_321241,20251101,2
384517_321241,20251111,2
384517_322293,20251101,2
384517_322293,20251111,2
384517_322314,20251101,1
384517_322314,20251111,1
384517_322330,20251101,2
384517_322330,20251111,2
384517_322336,20251110,1
384517_322342,20251101,2
384517_322342,20251111,2
384517_322359,20251101,2
384517_322359,20251111,2
384517_322480,20251101,2
384517_322480,20251111,2
384517_322490,20251101,2
384517_322490,20251111,2
384517_322537,20251101,2
384517_322537,20251111,2
384517_322542,20251101,2
384517_322542,20251111,2
384517_322547,20251101,2
384517_322547,20251111,2
384517_322552,20251101,2
384517_322552,20251111,2
384517_322606,20251101,2
384517_322606,20251111,2
384517_322620,20251101,2
384517_322620,20251111,2
384517_322656,20251101,2
384517_322656,20251111,2
384517_322667,20251101,2
384517_322667,20251111,2
384517_322680,20251101,2
384517_322680,20251111,2
384517_322685,20251110,2
384517_322690,20251110,1
384517_322704,20251110,2
384517_322713,20251110,1
384517_322748,20251101,2
384517_322748,20251111,2
384517_322756,20251101,1
384517_322756,20251111,1
384518_320880,20251101,2
384518_320880,20251111,2
384518_323730,20251101,1
384518_323730,20251111,1
384518_323746,20251101,2
384518_323746,20251111,2
384518_323758,20251101,2
384518_323758,20251111,2
384518_323763,20251101,1
384518_323763,20251111,1
384518_323790,20251101,2
384518_323790,20251111,2
384518_323796,20251101,2
384518_323796,20251111,2
384518_323814,20251101,2
384518_323814,20251111,2
384518_323833,20251101,1
384518_323833,20251111,1
384518_323845,20251101,2
384518_323845,20251111,2
384518_323852,20251101,1
384518_323852,20251111,1
384518_323889,20251101,1
384518_323889,20251111,1
384518_323894,20251101,2
384518_323894,20251111,2
384518_323903,20251101,1
384518_323903,20251111,1
384518_323910,20251101,2
384518_323910,20251111,2
384518_323915,20251101,1
384518_323915,20251111,1
384518_323926,20251101,2
384518_323926,20251111,2
384518_323931,20251101,2
384518_323931,20251111,2
384518_323937,20251101,2
384518_323937,20251111,2
384518_323967,20251101,2
384518_323967,20251111,2
384518_323972,20251101,2
384518_323972,20251111,2
384520_320988,20251101,1
384520_320988,20251111,1
384521_321002,20251101,1
384521_321002,20251111,1
384522_321019,20251101,1
384522_321019,20251111,1
384524_321062,20251101,2
384524_321062,20251111,2
384524_321078,20251101,2
384524_321078,20251111,2
384524_321310,20251101,2
384524_321310,20251111,2
384524_321354,20251101,1
384524_321354,20251111,1
384524_321395,20251101,2
384524_321395,20251111,2
384524_321487,20251111,2
384524_321493,20251101,1
384524_321493,20251111,1
384524_321500,20251101,2
384524_321500,20251111,2
384524_323277,20251101,2
384524_323277,20251111,2
