route_id,service_id,trip_id,trip_headsign,wheelchair_accessible,block_id
194227,384490_319239,29765653_319239,Sędzisław,0,25400/60461
194227,384490_319240,29765654_319240,Sędzisław,0,25400/60461
194227,384490_319242,29765656_319242,Sędzisław,0,25402/60463
194227,384490_319243,29765657_319243,Sędzisław,0,25402/60463
194227,384490_319246,29765660_319246,Sędzisław,0,25404/60465
194227,384490_319252,29765666_319252,Sędzisław,0,25408/60467
194227,384490_319253,29765667_319253,Sędzisław,0,25408/60467
194227,384490_319258,29765672_319258,Sędzisław,0,25410/60469
194227,384490_319259,29765673_319259,Sędzisław,0,25410/60469
194227,384490_319261,29765675_319261,Sędzisław,0,25412/60471
194227,384490_319262,29765676_319262,Sędzisław,0,25412/60471
194227,384490_319264,29765678_319264,Sędzisław,0,25414/60473
194229,384492_319284,29765698_319284,Szklarska Poręba Górna,0,2650
194229,384492_319285,29765699_319285,Szklarska Poręba Górna,0,2650
194229,384492_319286,29765700_319286,Szklarska Poręba Górna,0,2650
194229,384492_319294,29765708_319294,Liberec,0,2651
194229,384492_319295,29765709_319295,Liberec,0,2651
194229,384492_319296,29765710_319296,Harrachov,0,2651
194229,384492_319302,29765716_319302,Szklarska Poręba Górna,0,2652
194229,384492_319303,29765717_319303,Szklarska Poręba Górna,0,2652
194229,384492_319304,29765718_319304,Szklarska Poręba Górna,0,2652
194229,384492_319315,29765729_319315,Liberec,0,2653
194229,384492_319316,29765730_319316,Liberec,0,2653
194229,384492_319317,29765731_319317,Harrachov,0,2653
194229,384492_319323,29765737_319323,Szklarska Poręba Górna,0,2654
194229,384492_319324,29765738_319324,Szklarska Poręba Górna,0,2654
194229,384492_319325,29765739_319325,Szklarska Poręba Górna,0,2654
194229,384492_319336,29765750_319336,Liberec,0,2655
194229,384492_319337,29765751_319337,Liberec,0,2655
194229,384492_319338,29765752_319338,Harrachov,0,2655
194229,384492_319344,29765768_319344,Szklarska Poręba Górna,0,2656
194229,384492_319345,29765769_319345,Szklarska Poręba Górna,0,2656
194229,384492_319346,29765770_319346,Szklarska Poręba Górna,0,2656
194229,384492_319356,29765780_319356,Liberec,0,2657
194229,384492_319357,29765781_319357,Liberec,0,2657
194229,384492_319358,29765782_319358,Harrachov,0,2657
194229,384492_319364,29765788_319364,Szklarska Poręba Górna,0,2658
194229,384492_319365,29765789_319365,Szklarska Poręba Górna,0,2658
194229,384492_319366,29765790_319366,Szklarska Poręba Górna,0,2658
194229,384492_319375,29765799_319375,Liberec,0,2659
194229,384492_319376,29765800_319376,Liberec,0,2659
194229,384492_319377,29765801_319377,Harrachov,0,2659
194229,384492_319383,29765807_319383,Szklarska Poręba Górna,0,2660
194229,384492_319384,29765808_319384,Szklarska Poręba Górna,0,2660
194229,384492_319385,29765809_319385,Szklarska Poręba Górna,0,2660
194229,384492_319395,29765819_319395,Liberec,0,2661
194229,384492_319396,29765820_319396,Liberec,0,2661
194229,384492_319397,29765821_319397,Harrachov,0,2661
194229,384492_319403,29765827_319403,Szklarska Poręba Górna,0,2662
194229,384492_319404,29765828_319404,Szklarska Poręba Górna,0,2662
194229,384492_319405,29765829_319405,Szklarska Poręba Górna,0,2662
194229,384492_319415,29765839_319415,Liberec,0,2663
194229,384492_319416,29765840_319416,Liberec,0,2663
194229,384492_319417,29765841_319417,Harrachov,0,2663
194229,384492_319423,29765847_319423,Szklarska Poręba Górna,0,2664
194229,384492_319424,29765848_319424,Szklarska Poręba Górna,0,2664
194229,384492_319425,29765849_319425,Szklarska Poręba Górna,0,2664
194229,384492_319434,29765858_319434,Liberec,0,2665
194229,384492_319435,29765859_319435,Liberec,0,2665
194229,384492_319436,29765860_319436,Harrachov,0,2665
194229,384492_319442,29765866_319442,Szklarska Poręba Górna,0,2666
194229,384492_319443,29765867_319443,Szklarska Poręba Górna,0,2666
194229,384492_319444,29765868_319444,Szklarska Poręba Górna,0,2666
194229,384492_319453,29765877_319453,Liberec,0,2667
194229,384492_319454,29765878_319454,Liberec,0,2667
194229,384492_319455,29765879_319455,Harrachov,0,2667
194229,384492_319461,29765885_319461,Szklarska Poręba Górna,0,2668
194229,384492_319462,29765886_319462,Szklarska Poręba Górna,0,2668
194229,384492_319463,29765887_319463,Szklarska Poręba Górna,0,2668
194229,384492_319473,29765948_319473,Liberec,0,2669
194229,384492_319474,29765949_319474,Liberec,0,2669
